Bowler_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Bowler_Strike_Rate_IPL,Economy_Rate_IPL,Balls_Per_Match,Wickets_Per_Match,Runs_Conceeded_IPL,Runs_Conceeded_Per_Match,Dot_Balls_Death_Over_Per_Match,Dot_Balls_Power_Play_Per_Match,Extra_Runs_Death_Over_Per_Match,Extra_Runs_Power_Play_Per_Match,Extra_Runs_Per_Match,Wickets_Death_Over_Per_Match,Wickets_Power_Play_Per_Match,Player_Id
1,SC Ganguly,Left_Hand,Right-arm medium,India,35,7.692857143,14,0.4,359,17.95,1.4,2.333333333,0,0.333333333,0.4,0.166666667,0,1
4,DJ Hussey,Right_Hand,Right-arm offbreak,Australia,64.6,8.674922601,12.42307692,0.192307692,467,17.96153846,3.125,2.75,0.75,0,0.5,0.375,0,4
5,Mohammad Hafeez,Right_Hand,Right-arm offbreak,Pakistan,31.5,5.80952381,15.75,0.5,61,15.25,0,0,0,0,2.5,0,0,5
8,V Kohli,Right_Hand,Right-arm medium,India,66,8.045454545,10.15384615,0.153846154,354,13.61538462,1.666666667,0,0.285714286,0,0.653846154,0,0,8
9,JH Kallis,Right_Hand,Right-arm fast-medium,South Africa,40.88636364,7.410783769,20.21348315,0.494382022,2222,24.96629213,2.764705882,4.690909091,0.418181818,0.482142857,1.056179775,0.181818182,0.160714286,9
10,CL White,Right_Hand,Legbreak googly,Australia,46,10.56521739,7.666666667,0.166666667,81,13.5,1,0,2,0,0.5,0,0,10
12,B Akhil,Right_Hand,Right-arm medium-fast,India,32.16666667,7.305699482,14.84615385,0.461538462,235,18.07692308,2.2,1,0.272727273,0,0.846153846,0.181818182,0,12
13,AA Noffke,Right_Hand,Right-arm fast-medium,Australia,25,8.4,25,1,35,35,5,3,0,6,6,1,0,13
14,P Kumar,Right_Hand,Right-arm medium,India,37.19117647,7.036773428,22.38053097,0.601769912,2966,26.24778761,2.956521739,7.883928571,0.649350649,1.008928571,1.495575221,0.298701299,0.169642857,14
15,Z Khan,Right_Hand,Left-arm fast-medium,India,27.06666667,7.043349754,23.06818182,0.852272727,2383,27.07954545,2.971428571,7.556818182,0.525641026,0.943181818,1.454545455,0.256410256,0.295454545,15
16,SB Joshi,Left_Hand,Slow left-arm orthodox,India,55,8.945454545,13.75,0.25,82,20.5,3,0,0,0,0,1,0,16
21,SK Raina,Left_Hand,Right-arm offbreak,India,38.72727273,6.957746479,13.74193548,0.35483871,988,15.93548387,2.833333333,2.5,0.444444444,0.25,0.661290323,0.222222222,0.25,21
22,JDP Oram,Left_Hand,Right-arm fast-medium,New Zealand,27.11111111,8.409836066,17.42857143,0.642857143,342,24.42857143,3.222222222,5.333333333,0.6,0.666666667,0.857142857,0.5,0.333333333,22
24,K Goel,Left_Hand,Right-arm offbreak,India,0,8.23880597,11.16666667,0,92,15.33333333,0,0,0,0,0.333333333,0,0,24
25,JR Hopes,Right_Hand,Right-arm medium,Australia,26.35714286,8.764227642,18.45,0.7,539,26.95,2.416666667,3.333333333,0.692307692,0.333333333,1.15,0.307692308,0.333333333,25
27,Yuvraj Singh,Left_Hand,Slow left-arm orthodox,India,28.56666667,7.141190198,12.42028986,0.434782609,1020,14.7826087,3.045454545,0,0.416666667,0,0.347826087,0.25,0,27
29,IK Pathan,Left_Hand,Left-arm medium-fast,India,30.44927536,7.239409805,21.01,0.69,2535,25.35,2.901639344,6.738095238,0.614285714,0.702380952,1.18,0.257142857,0.130952381,29
31,YK Pathan,Right_Hand,Right-arm offbreak,India,31.72222222,6.877408056,15.02631579,0.473684211,1309,17.22368421,2.526315789,5.285714286,0.434782609,0.628571429,0.815789474,0.130434783,0.171428571,31
32,SR Watson,Right_Hand,Right-arm fast-medium,Australia,24.5890411,6.962674095,20.87209302,0.848837209,2083,24.22093023,4.1,5.8,0.96875,0.792207792,1.709302326,0.46875,0.298701299,32
35,RA Jadeja,Left_Hand,Slow left-arm orthodox,India,29.37288136,7.301788806,17.33,0.59,2109,21.09,3.25862069,3.363636364,0.294117647,0.363636364,0.57,0.161764706,0.272727273,35
37,D Salunkhe,Right_Hand,Legbreak,India,51,8.235294118,10.2,0.2,70,14,2,0,0,0,2,0,0,37
38,SK Warne,Right_Hand,Legbreak googly,Australia,21.45614035,6.907604252,22.64814815,1.055555556,1408,26.07407407,3.083333333,2.166666667,0.41025641,0.333333333,1.055555556,0.179487179,0.166666667,38
39,SK Trivedi,Right_Hand,Right-arm medium,India,33.84782609,7.090558767,20.76,0.613333333,1840,24.53333333,2.829787234,3.631578947,0.377358491,0.526315789,0.92,0.264150943,0.210526316,39
41,V Sehwag,Right_Hand,Right-arm offbreak,India,23,10.13043478,9.2,0.4,233,15.53333333,2,1,0,1,0.2,0,0,41
42,S Dhawan,Left_Hand,Right-arm offbreak,India,49,7.959183673,8.166666667,0.166666667,65,10.83333333,4,2.333333333,1,0,0.166666667,1,0,42
44,ST Jayasuriya,Left_Hand,Slow left-arm orthodox,Sri Lanka,23.15384615,7.475083056,14.33333333,0.619047619,375,17.85714286,2.625,2,0.2,0,1,0.4,0,44
45,DJ Thornely,Right_Hand,Right-arm medium,Australia,14.66666667,5.181818182,11,0.75,38,9.5,4,0,0,0,0.5,0,0,45
48,AM Nayar,Left_Hand,Right-arm medium,India,29.875,7.807531381,12.57894737,0.421052632,311,16.36842105,1,3,1,0,0.631578947,0.5,0,48
49,SM Pollock,Right_Hand,Right-arm fast-medium,South Africa,25.45454545,6.364285714,21.53846154,0.846153846,297,22.84615385,1.5,8.461538462,0.5,0.615384615,0.769230769,0.25,0.461538462,49
50,Harbhajan Singh,Right_Hand,Right-arm offbreak,India,25.62616822,6.630196937,22.29268293,0.869918699,3030,24.63414634,2.673469388,4.814814815,0.352941176,0.418181818,1.073170732,0.31372549,0.109090909,50
52,LRPL Taylor,Right_Hand,Right-arm offbreak,New Zealand,0,10.61538462,6.5,0,23,11.5,0,0,0,0,0.5,0,0,52
53,AC Gilchrist,Left_Hand,Right-arm offbreak,Australia,1,0,1,1,0,0,1,0,0,0,0,1,0,53
54,Y Venugopal Rao,Right_Hand,Right-arm offbreak,India,37,8.891891892,11.1,0.3,329,16.45,2.4,2.428571429,0.166666667,0,0.45,0.166666667,0.142857143,54
56,A Symonds,Right_Hand,Right-arm offbreak,Australia,27,7.288888889,18,0.666666667,656,21.86666667,2.6,4.928571429,0.4,0.642857143,1.266666667,0.333333333,0.285714286,56
57,RG Sharma,Right_Hand,Right-arm offbreak,India,22.8,7.456140351,11.4,0.5,425,14.16666667,2.375,3.25,0.181818182,0.625,0.8,0.363636364,0.25,57
58,SB Styris,Right_Hand,Right-arm medium,New Zealand,27.75,7.297297297,20.18181818,0.727272727,270,24.54545455,2.777777778,3.5,0.333333333,0.5,0.727272727,0.666666667,0.166666667,58
59,SB Bangar,Right_Hand,Right-arm medium-fast,India,38.25,8.31372549,17,0.444444444,212,23.55555556,1,4,0.25,0.333333333,1,0.25,0.333333333,59
60,WPUJC Vaas,Left_Hand,Left-arm fast-medium,Sri Lanka,16,7.1875,22.15384615,1.384615385,345,26.53846154,2.142857143,9.076923077,0.888888889,0.692307692,1.461538462,0.111111111,0.769230769,60
61,RP Singh,Right_Hand,Left-arm fast-medium,India,25.32432432,7.139807898,22.85365854,0.902439024,2230,27.19512195,3.101449275,7.4625,0.704225352,1.109756098,1.853658537,0.338028169,0.256097561,61
63,LR Shukla,Right_Hand,Right-arm medium,India,25.07692308,7.895705521,12.07407407,0.481481481,429,15.88888889,3.727272727,2.25,0.866666667,0.4,1.074074074,0.333333333,0,63
66,B Lee,Right_Hand,Right-arm fast,Australia,61.06666667,6.825327511,24.10526316,0.394736842,1042,27.42105263,3.727272727,7.447368421,0.861111111,0.789473684,1.815789474,0.083333333,0.131578947,66
67,PP Chawla,Left_Hand,Legbreak,India,24.47524752,7.332524272,20.26229508,0.827868852,3021,24.76229508,2.970588235,2.952380952,0.2,0.761904762,0.836065574,0.253333333,0.047619048,67
68,WA Mota,Right_Hand,Right-arm medium,India,18.75,7.52,10.71428571,0.571428571,94,13.42857143,1.666666667,0,0.4,0,0.571428571,0.2,0,68
70,Shahid Afridi,Right_Hand,Legbreak googly,Pakistan,20.55555556,7.135135135,18.5,0.9,220,22,2.6,3,0.6,0.25,1.7,0.4,0.25,70
71,DJ Bravo,Right_Hand,Right-arm medium-fast,West Indies,21.53061224,7.558293839,20.48543689,0.951456311,2658,25.80582524,4.341772152,4.296296296,0.823529412,0.448275862,1.165048544,0.541176471,0.310344828,71
72,MA Khote,Right_Hand,Right-arm medium,India,15,10.2,15,1,51,25.5,2.5,0,0.5,0,0.5,1,0,72
73,A Nehra,Right_Hand,Left-arm medium-fast,India,22.74074074,7.263843648,22.46341463,0.987804878,2230,27.19512195,3.03125,6.804878049,0.46969697,0.646341463,1.109756098,0.46969697,0.268292683,73
75,Pankaj Singh,Right_Hand,Right-arm medium-fast,India,77.75,8.739549839,18.29411765,0.235294118,453,26.64705882,1.75,5.266666667,0.3,0.466666667,1,0,0.2,75
77,S Sreesanth,Right_Hand,Right-arm fast-medium,India,26.30555556,7.045406547,21.52272727,0.818181818,1112,25.27272727,2.45,7.931818182,0.75,1.613636364,2.181818182,0.166666667,0.363636364,77
78,VRV Singh,Right_Hand,Right-arm medium-fast,India,30.91666667,8.587601078,20.61111111,0.666666667,531,29.5,3.181818182,3.272727273,0.533333333,0.416666667,1,0.333333333,0.083333333,78
80,DS Kulkarni,Right_Hand,Right-arm medium,India,20.3880597,7.111273792,20.6969697,1.015151515,1619,24.53030303,3.380952381,6.4,1.022727273,0.7,1.772727273,0.386363636,0.45,80
81,R Vinay Kumar,Right_Hand,Right-arm medium,India,30.15492958,7.930873424,21.1980198,0.702970297,2830,28.01980198,3.1,5.138888889,0.397435897,0.378378378,0.861386139,0.346153846,0.216216216,81
82,AB Agarkar,Right_Hand,Right-arm fast,India,31.53846154,8.136585366,19.52380952,0.619047619,1112,26.47619048,2.590909091,4.083333333,0.44,1,1.285714286,0.2,0.2,82
83,M Kartik,Left_Hand,Slow left-arm orthodox,India,47.28,6.807106599,21.49090909,0.454545455,1341,24.38181818,1.888888889,3.5,0.029411765,0.269230769,1.018181818,0.088235294,0.153846154,83
84,I Sharma,Right_Hand,Right-arm fast-medium,India,31.98,7.324577861,22.84285714,0.714285714,1952,27.88571429,2.978723404,8.130434783,0.8,1.31884058,2,0.18,0.246376812,84
85,AM Rahane,Right_Hand,Right-arm medium,India,6,5,6,1,5,5,2,0,0,0,0,0,0,85
86,Shoaib Malik,Right_Hand,Right-arm offbreak,Pakistan,29,7.965517241,11.6,0.4,77,15.4,2.333333333,0,0.333333333,0,2,0.333333333,0,86
87,MK Tiwary,Right_Hand,Legbreak googly,India,38,11.21052632,7.6,0.2,71,14.2,3,0,0.5,0,0.4,0.5,0,87
89,R Bhatia,Right_Hand,Right-arm medium-fast,India,31.11538462,7.168108776,18.38636364,0.590909091,1933,21.96590909,2.441860465,2,0.212765957,0,0.556818182,0.191489362,0,89
90,MF Maharoof,Right_Hand,Right-arm fast-medium,India,16.33333333,6.721088435,22.05,1.35,494,24.7,2.833333333,6,0.357142857,0.8,1.9,0.428571429,0.466666667,90
91,VY Mahesh,Right_Hand,Right-arm medium-fast,India,19.94444444,7.988857939,21.11764706,1.058823529,478,28.11764706,3.6,3.666666667,0.153846154,0.555555556,1.529411765,0.769230769,0.222222222,91
93,B Chipli,Right_Hand,Right-arm medium,India,0,20,6,0,20,20,1,0,0,0,0,0,0,93
94,DW Steyn,Right_Hand,Right-arm fast,South Africa,32.71212121,6.138953219,23.98888889,0.733333333,2209,24.54444444,3.863013699,7.366666667,0.493506494,0.888888889,1.566666667,0.337662338,0.177777778,94
98,DNT Zoysa,Left_Hand,Left-arm fast-medium,Sri Lanka,34.5,8.347826087,23,0.666666667,96,32,2.333333333,5.333333333,1,0.333333333,1.333333333,0.333333333,0,98
99,D Kalyankrishna,Right_Hand,Right-arm medium-fast,India,25,10.2,16.66666667,0.666666667,85,28.33333333,1,0,0.333333333,0,1,0,0,99
102,Sohail Tanvir,Left_Hand,Left-arm medium-fast,Pakistan,12.04545455,5.569811321,24.09090909,2,246,22.36363636,4.7,8.545454545,0.9,1.818181818,2.636363636,0.9,0.181818182,102
104,BJ Hodge,Right_Hand,Right-arm offbreak,Australia,14.875,7.411764706,11.9,0.8,294,14.7,3.5,3.4,0,1,0.75,1.5,0,104
105,Umar Gul,Right_Hand,Right-arm fast-medium,Pakistan,12.75,6.509803922,25.5,2,166,27.66666667,4.6,5.2,2.4,2,5.333333333,0,0.6,105
106,AB Dinda,Right_Hand,Right-arm medium-fast,India,28.22222222,7.374015748,21.16666667,0.75,1873,26.01388889,3.023255814,6.784615385,0.3,0.861538462,1.222222222,0.34,0.276923077,106
108,S Vidyut,Left_Hand,Slow left-arm orthodox,India,13,9.692307692,13,1,21,21,0,0,0,0,1,0,0,108
109,JA Morkel,Left_Hand,Right-arm medium-fast,South Africa,25.43661972,7.495016611,20.75862069,0.816091954,2256,25.93103448,2.613636364,6.333333333,0.46,0.916666667,1.402298851,0.36,0.208333333,109
111,LPC Silva,Right_Hand,Legbreak,Sri Lanka,0,21,6,0,21,21,0,0,0,0,0,0,0,111
112,DB Ravi Teja,Right_Hand,Legbreak googly,India,18,9.333333333,9,0.5,28,14,0,0,0,0,0,0,0,112
115,RR Raje,Right_Hand,Right-arm fast-medium,India,24,8.333333333,14.4,0.6,200,20,2,5,0.166666667,1,1.4,0.333333333,0,115
116,PJ Sangwan,Right_Hand,Left-arm medium,India,25.03448276,7.570247934,22,0.878787879,916,27.75757576,2.777777778,4.964285714,0.444444444,1.24137931,2.090909091,0.444444444,0.24137931,116
117,Mohammad Asif,Left_Hand,Right-arm fast-medium,Pakistan,24.875,8.713567839,24.875,1,289,36.125,2.571428571,5.5,1,0.75,2.25,0.375,0.125,117
118,GD McGrath,Right_Hand,Right-arm fast-medium,Australia,27.41666667,6.419452888,23.5,0.857142857,352,25.14285714,2.181818182,9.857142857,0.25,0.785714286,1,0.25,0.5,118
119,Joginder Sharma,Right_Hand,Right-arm fast-medium,India,22.66666667,8.867647059,18.13333333,0.8,402,26.8,3.428571429,4.333333333,0.625,1.333333333,1.266666667,0.625,0,119
120,MS Gony,Right_Hand,Right-arm medium,India,30.33333333,8.050549451,21.1627907,0.697674419,1221,28.39534884,2.9375,6.771428571,0.222222222,0.714285714,0.930232558,0.111111111,0.314285714,120
121,M Muralitharan,Right_Hand,Right-arm offbreak,Sri Lanka,32.9375,6.231499051,23.95454545,0.727272727,1642,24.87878788,3.288888889,4.15,0.520833333,0.3,1.53030303,0.270833333,0.05,121
122,M Ntini,Right_Hand,Right-arm fast,South Africa,30.42857143,6.704225352,23.66666667,0.777777778,238,26.44444444,2.833333333,9.888888889,0.428571429,1.777777778,2.111111111,0,0.333333333,122
124,A Kumble,Right_Hand,Legbreak googly,India,21.84444444,6.268565615,23.4047619,1.071428571,1027,24.45238095,2.64516129,4.466666667,0.382352941,0.466666667,1.476190476,0.323529412,0.066666667,124
126,MM Patel,Right_Hand,Right-arm medium-fast,India,24.34545455,7.200896191,21.95081967,0.901639344,1607,26.3442623,3.484848485,6.431034483,0.227272727,0.431034483,0.737704918,0.340909091,0.25862069,126
127,CK Kapugedera,Right_Hand,Right-arm medium,Sri Lanka,0,17.29411765,5.666666667,0,49,16.33333333,0,0,0,0,0,0,0,127
131,PP Ojha,Left_Hand,Slow left-arm orthodox,India,25.59210526,6.974807198,21.61111111,0.844444444,2261,25.12222222,2.88372093,3.333333333,0.6,0.2,1.311111111,0.36,0.114285714,131
133,SR Tendulkar,Right_Hand,Right-arm offbreak,India,0,9.243243243,9.25,0,57,14.25,1,0,0,0,0.5,0,0,133
135,TM Dilshan,Right_Hand,Right-arm offbreak,Sri Lanka,55,7.876363636,11,0.2,361,14.44,3,2.8,0.5,0.166666667,0.16,0.25,0,135
136,A Mishra,Right_Hand,Legbreak,India,24.66,6.924574209,22.01785714,0.892857143,2846,25.41071429,2.986111111,4.642857143,0.35443038,0.5,0.848214286,0.151898734,0.214285714,136
137,AD Mascarenhas,Right_Hand,Right-arm fast-medium,England,25.83333333,6.832258065,23.84615385,0.923076923,353,27.15384615,2,6.307692308,0,0.153846154,0.461538462,0,0.538461538,137
140,Iqbal Abdulla,Left_Hand,Slow left-arm orthodox,India,26.73529412,6.811881188,19.76086957,0.739130435,1032,22.43478261,3.055555556,5,0.380952381,0.148148148,0.673913043,0.333333333,0.259259259,140
142,PM Sarvesh Kumar,Right_Hand,Right-arm medium,India,31,7.935483871,15.5,0.5,41,20.5,0,3,0,1,0.5,0,0,142
143,DP Vijaykumar,Right_Hand,Right-arm medium,India,39.5,7.253164557,17.55555556,0.444444444,191,21.22222222,2,6.333333333,1.6,0.444444444,1.444444444,0.2,0.333333333,143
144,Shoaib Akhtar,Right_Hand,Right-arm fast,Pakistan,9.2,6.52173913,15.33333333,1.666666667,50,16.66666667,0,9,0,1.333333333,1.333333333,0,1.333333333,144
145,Abdur Razzak,Left_Hand,Slow left-arm orthodox,Bangladesh,0,9.857142857,14,0,23,23,0,0,0,0,6,0,0,145
147,DR Smith,Right_Hand,Right-arm medium,West Indies,21.59090909,8.122105263,12.83783784,0.594594595,643,17.37837838,2.25,2.888888889,0.642857143,0.4,0.702702703,0.071428571,0.5,147
148,SD Chitnis,Right_Hand,Right-arm offbreak,India,19,8.526315789,19,1,54,27,5,4,5,2,4,2,0,148
149,CRD Fernando,Right_Hand,Right-arm fast-medium,Sri Lanka,14.64705882,6.722891566,24.9,1.7,279,27.9,4.333333333,5.111111111,1.222222222,0.777777778,2.7,0.333333333,0.666666667,149
150,VS Yeligati,Right_Hand,Right-arm offbreak,India,0,9.9375,16,0,53,26.5,1,2,0,1,4,0,0,150
151,L Balaji,Right_Hand,Right-arm medium-fast,India,25.80327869,7.440914867,21.56164384,0.835616438,1952,26.73972603,3.035087719,5.416666667,0.709677419,0.625,1.410958904,0.387096774,0.145833333,151
153,RR Powar,Right_Hand,Right-arm offbreak,India,34.07692308,6.785553047,17.03846154,0.5,501,19.26923077,2.857142857,5.125,0.142857143,0.875,1.423076923,0.428571429,0.0625,153
154,JP Duminy,Left_Hand,Right-arm offbreak,South Africa,31.04545455,6.729136164,14.53191489,0.468085106,766,16.29787234,2.25,3.789473684,0.214285714,0.578947368,0.829787234,0.214285714,0.052631579,154
